Wall time,Step,Value
1684260588.1633,1841,2.686457395553589
1684260588.367709,1844,2.6860334873199463
1684260588.720734,1849,2.689631700515747
1684260588.9862962,1853,2.6888890266418457
1684260589.8956451,1866,2.6903185844421387
1684260590.036237,1868,2.6924195289611816
1684260590.0987217,1869,2.693509340286255
1684260590.5204976,1875,2.6941468715667725
1684260590.5829842,1876,2.695380687713623
1684260590.645507,1877,2.696023941040039
1684260590.801685,1879,2.694715976715088
1684260591.7517643,1893,2.70273756980896
1684260593.002756,1911,2.7026782035827637
1684260593.4245307,1917,2.7030982971191406
1684260593.8791788,1924,2.7044358253479004
1684260594.3180666,1930,2.7051351070404053
1684260594.5679688,1934,2.7074074745178223
1684260594.7085617,1936,2.7078845500946045
1684260594.8491952,1938,2.707235097885132
1684260595.2723043,1944,2.7096595764160156
1684260595.4753845,1947,2.7086615562438965
1684260595.6159737,1949,2.7082173824310303
1684260595.834672,1952,2.708845615386963
1684260596.0221264,1955,2.711920738220215
1684260596.2408645,1958,2.712357997894287
1684260596.879456,1967,2.7111551761627197
1684260597.020048,1969,2.7140579223632812
1684260597.8479812,1981,2.7139432430267334
1684260597.9117937,1982,2.7146413326263428
1684260597.9899042,1983,2.7153890132904053
1684260598.9404624,1997,2.716888904571533
1684260599.2078483,2001,2.7197341918945312
1684260599.4890354,2005,2.7174277305603027
1684260599.7944837,2009,2.7169864177703857
1684260599.8569329,2010,2.7174205780029297
1684260600.0600102,2013,2.719846248626709
1684260600.200641,2015,2.7207677364349365
1684260600.3411932,2017,2.7203028202056885
1684260600.8803725,2025,2.7222530841827393
1684260601.020913,2027,2.7222886085510254
1684260601.223989,2030,2.7217423915863037
1684260601.4426877,2033,2.7231369018554688
1684260601.6590297,2036,2.720541477203369
1684260601.7922597,2038,2.7203495502471924
1684260601.9976106,2041,2.7187626361846924
1684260602.2163126,2044,2.7187771797180176
1684260603.3098042,2060,2.716944456100464
1684260603.7991948,2067,2.7193448543548584
1684260604.142861,2072,2.7185628414154053
1684260604.2053502,2073,2.718109130859375
1684260604.2914555,2074,2.717674493789673
1684260604.4164646,2076,2.718179941177368
1684260604.4789126,2077,2.7188832759857178
1684260604.6195028,2079,2.718576431274414
1684260604.7680469,2081,2.717377185821533
1684260605.0336092,2085,2.716092109680176
1684260605.330415,2089,2.714475393295288
1684260605.6741226,2094,2.712007761001587
1684260605.8146784,2096,2.7131447792053223
1684260606.3070855,2103,2.7172939777374268
1684260606.4476352,2105,2.718684673309326
1684260606.5101209,2106,2.7183711528778076
1684260606.8694444,2111,2.718057632446289
1684260607.135006,2115,2.7176105976104736
1684260607.5023046,2120,2.7162981033325195
1684260607.6585188,2122,2.7164714336395264
1684260607.7522469,2123,2.7163326740264893
1684260608.439585,2133,2.7162840366363525
1684260608.5176892,2134,2.7163405418395996
1684260608.812788,2138,2.7160842418670654
